species	distance	area_cm_2	csf
gem	44.4	625.2201498	110.5167318
gem	39.7	464.9763687	98.45559635
gem	28	2440.216459	83.32172348
gem	30	343.6531685	66.3490466
gem	32.9	2939.482353	57.00577099
gem	32.7	1184.201623	38.97563077
gem	29.6	2040.210155	37.60594784
gem	50	184.6772738	37.03707882
gem	32.2	1302.229877	36.37407655
gem	29.4	2763.247427	35.16616013
gem	68.7	1204.606686	34.2049973
gem	32	835.2836682	33.36622708
gem	49.3	2267.119436	32.71201049
gem	45.2	418.2286228	30.78811151
gem	74.7	2426.549212	29.56681859
gem	66.3	1333.902398	27.42598243
gem	29.9	645.9809894	27.32414406
gem	39.3	682.6435195	27.18118814
gem	25.9	1705.31116	25.912398
gem	52.4	758.5798125	24.42430112
gem	50	197.9787305	24.03417643
gem	55.8	960.0721946	23.74723896
gem	29.6	1685.697177	23.59342879
gem	31.2	1119.884341	23.42456831
gem	24	679.8307072	22.99272965
gem	48.6	314.5228376	22.80847104
gem	74.2	1899.253204	22.31468008
gem	49.5	623.5587367	21.97220931
gem	51.2	451.9493553	21.9669409
gem	77	902.9093226	21.80451562
gem	50.4	441.5001102	21.11373404
gem	64.1	752.3520828	20.43375434
gem	66.1	1377.788711	20.17086221
gem	34.9	575.1943298	19.9602313
gem	74.2	1242.12928	19.54128566
gem	66.1	64.78436696	19.40840727
gem	68.6	314.2678105	18.16764358
gem	39	1004.820073	17.93676596
gem	78.3	732.7816989	17.38604965
gem	72.1	1292.779721	17.00401318
gem	55.9	358.4136686	16.89340838
gem	32.7	274.2249808	16.7957971
gem	30.5	1078.311819	16.2791388
gem	11.1	817.6895855	16.15452853
gem	68.8	1002.555232	15.86496989
gem	26.2	919.6386748	15.43981291
gem	60.6	431.7269868	15.32236684
gem	71.7	178.4755452	15.30406256
gem	69.7	896.968866	15.2314114
gem	72.2	193.352064	15.16750889
gem	14.1	478.5048914	15.09437262
gem	58.6	263.6351773	15.0918651
gem	60.7	1814.611029	14.9420186
gem	38.3	170.1799682	14.91093872
gem	16.6	486.5025148	14.71806119
gem	76.7	313.8006311	14.65762009
gem	72.8	387.7587826	14.12509014
gem	50	436.6402971	13.47640235
gem	74.8	340.0418661	13.12082445
gem	36.5	881.706002	13.06929149
gem	52.5	714.398905	12.72868786
gem	66.2	1167.355693	12.60027558
gem	58.1	598.2455344	12.05116728
gem	42.2	308.1188438	11.96547189
gem	46.1	516.2323656	11.92068246
gem	71.4	79.71479398	11.78940832
gem	61.9	349.5649007	11.76815865
gem	0.6	439.3917642	11.61380586
gem	78.2	852.4766131	11.6099621
gem	54.3	788.2272304	11.5602651
gem	29.1	510.4007473	11.33274524
gem	76.3	715.4206075	11.24682978
gem	28.6	940.1053522	11.24458098
gem	76.9	273.9402773	11.16690612
gem	53.3	1503.659987	11.12603549
gem	58.9	850.136439	10.99662565
gem	16.7	1060.225071	10.92406948
gem	19.2	261.0310727	10.89701816
gem	30	351.9453624	10.78659841
gem	65.8	989.056737	10.65880664
gem	16.9	77.52205671	10.55466384
gem	51	407.134007	10.50399175
gem	46.8	323.0268862	10.39108482
gem	25.6	281.9837288	10.14237504
gem	19.2	647.0231861	10.10140987
gem	60.3	121.6289755	10.09554343
gem	16.3	723.6299742	9.990230748
gem	33	997.8732489	9.74413684
gem	65.2	478.8766071	9.528320267
gem	47.6	327.9443134	9.45889581
gem	34	1353.004081	9.440212366
gem	29.4	643.9805222	9.420478691
gem	62.6	1173.624523	9.292406711
gem	49.2	573.314297	9.185476311
gem	57.7	141.5383477	9.059840093
gem	55.2	984.8197194	9.05228773
gem	28.5	366.0580163	9.024424163
gem	75.7	976.155807	8.903845594
gem	33.6	420.6935978	8.716839859
gem	37	518.4861441	8.715725816
gem	40.1	253.9375404	8.683476141
gem	17.1	626.9629532	8.616689179
gem	48.4	1083.839647	8.599688032
gem	45.8	84.87502274	8.581870762
gem	15.7	312.9336302	8.529372857
gem	58.9	776.7353401	8.432417023
gem	18.2	582.044505	8.43093482
gem	7.2	1336.25665	8.426088454
gem	41.7	315.0108715	8.41913278
gem	54	187.9113465	8.381531056
gem	60.6	90.05958022	8.311706324
gem	43.6	523.7072788	8.293397657
gem	70.1	518.7160294	8.025519481
gem	51.3	507.0702187	7.987739288
gem	80	236.2971697	7.848994782
gem	73.1	28.4357255	7.828391371
gem	7.3	139.476062	7.808983377
gem	8.3	471.4614174	7.73252603
gem	33	1192.312706	7.693402462
gem	15.8	56.08948439	7.671166625
gem	27.4	914.1269576	7.664811936
gem	12	172.0777209	7.593518828
gem	16.4	383.3891119	7.568786148
gem	17.7	571.5378761	7.402206413
gem	44.4	137.9977352	7.223046386
gem	55	986.3041423	7.19728594
gem	19.4	346.2573669	7.170472067
