kappa	t	t_1
0.05	-3	-2.50026214766662
0.05	-2.99	-2.49206655583385
0.05	-2.98	-2.48386039314137
0.05	-2.97	-2.47564332937634
0.05	-2.96	-2.46741503604806
0.05	-2.95	-2.45917518671114
0.05	-2.94	-2.45092345729439
0.05	-2.93	-2.4426595264353
0.05	-2.92	-2.43438307581941
0.05	-2.91	-2.42609379052434
0.05	-2.9	-2.41779135936775
0.05	-2.89	-2.40947547525898
0.05	-2.88	-2.40114583555348
0.05	-2.87	-2.39280214240977
0.05	-2.86	-2.3844441031482
0.05	-2.85	-2.37607143061075
0.05	-2.84	-2.36768384352146
0.05	-2.83	-2.35928106684664
0.05	-2.82	-2.35086283215424
0.05	-2.81	-2.34242887797154
0.05	-2.8	-2.33397895014065
0.05	-2.79	-2.32551280217084
0.05	-2.78	-2.31703019558699
0.05	-2.77	-2.30853090027352
0.05	-2.76	-2.30001469481275
0.05	-2.75	-2.29148136681707
0.05	-2.74	-2.28293071325416
0.05	-2.73	-2.27436254076413
0.05	-2.72	-2.26577666596823
0.05	-2.71	-2.25717291576785
0.05	-2.7	-2.24855112763332
0.05	-2.69	-2.23991114988164
0.05	-2.68	-2.23125284194215
0.05	-2.67	-2.22257607460967
0.05	-2.66	-2.21388073028409
0.05	-2.65	-2.20516670319577
0.05	-2.64	-2.19643389961602
0.05	-2.63	-2.18768223805196
0.05	-2.62	-2.17891164942497
0.05	-2.61	-2.17012207723233
0.05	-2.6	-2.16131347769115
0.05	-2.59	-2.1524858198642
0.05	-2.58	-2.14363908576703
0.05	-2.57	-2.13477327045593
0.05	-2.56	-2.12588838209621
0.05	-2.55	-2.11698444201033
0.05	-2.54	-2.10806148470581
0.05	-2.53	-2.09911955788214
0.05	-2.52	-2.09015872241685
0.05	-2.51	-2.08117905233032
0.05	-2.5	-2.07218063472913
0.05	-2.49	-2.06316356972803
0.05	-2.48	-2.05412797035032
0.05	-2.47	-2.0450739624067
0.05	-2.46	-2.03600168435266
0.05	-2.45	-2.0269112871246
0.05	-2.44	-2.01780293395472
0.05	-2.43	-2.00867680016507
0.05	-2.42	-1.99953307294094
0.05	-2.41	-2.37601330813947
